ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
FLT3 signaling in disease	0.35258305213582	0.224588176102246	0.0925303138167794	0.0377341076868688	0.0568257736352785	0.000884138635579538	0.00104411938205785	0.00104111381452332	0.00187921107681816	0.000704810000939282	0.00288754783291044	0.00054438226786779	0.00121995001470239	0.00108871899188481	0.00334208638004059	0.0027079081906728	0.00103807736221083	0.000541540977283396	0.00184086380642568	0.00489729039538023	0.0300922974285295	0.000298916982205129	0.00506139468014243
Neurexins and neuroligins	0.000721832905717026	0.00236021395043848	0.001531918179343	0.00113578003819598	0.00364687460665602	0.0469939602954774	0.803917949961962	0.00291941368540141	0.00215744138579399	9.29006064530788e-05	0.00196577915138493	4.8962497168683e-07	1.7023517710535e-07	8.82786401755509e-06	0.000117961498425095	0.0489935308990906	0.00104231682839073	0.000253844695749848	0.00699746264714609	0.00118722267196161	0.000657562377396343	0.0949609415154135	0.000211373232154705
Downstream signaling events of B Cell Receptor (BCR)	0.140216410853122	0.0400078936053158	0.00903009148938704	0.02195926600323	0.0160998195199252	0.00250579608995562	0.00420268388863888	0.002718456475658	0.00362049478886403	0.000282241675870179	0.00604930127676635	0.00698235477835687	0.00653155307340246	0.00761865759781695	0.00152134252629327	0.00569345402735074	0.00107197945060014	0.000238387250511956	0.00174527717043807	0.000263688863573911	0.00139127778767998	0.0234532197661221	0.0013192202095052
Signaling by NOTCH1	0.000394484029719691	1.57474504332807e-06	1.90075104346496e-06	2.0288232813119e-06	1.68915572425876e-06	0.00244989210854239	0.00240167256875367	0.000923024567186669	0.00104667448720201	2.29906626188589e-05	0.00266543802176776	0.000362162449836247	0.000374297597350919	0.000832001987465156	0.000308971167500523	0.00168367992265174	0.00110953751968387	0.000131875611421377	0.00313341799536107	0.00021099315332967	0.000168006738869758	0.00270956818305793	0.000136974866405245
G-protein mediated events	0.0086058541989847	0.0236280267678948	0.0225665232939166	0.0172394272211764	0.0144047366856512	0.233298043579933	0.0149707018070096	2.07271204868042e-05	6.06511469248403e-05	7.71837986678073e-05	0.00232043580094297	0.00372761859106588	0.00117907031090348	0.00275385550429568	0.00162360372183533	9.34741947160427e-05	0.00111312197227816	0.000992317012142593	0.00745536349973623	0.00170520820974729	0.000405970530315716	0.00102774440062915	9.06269962022094e-05
Regulation of TP53 Degradation	0.00318974882943077	0.00416512996759876	0.00254846948029384	0.00154639889411375	0.00345392297891874	0.00300589310954839	0.170493180467879	0.00130526212704251	0.00185058749740083	0.00111219621081296	0.00135593525782911	0.00167968428112088	0.00310134379895312	0.00694197149068518	0.017481745798287	0.0399984742722884	0.00111546886863383	0.000771463571909937	0.00955013579270147	0.000413587531834339	0.00247723843565219	0.0688153647955564	0.00258319089838395
MAPK targets/ Nuclear events mediated by MAP kinases	0.0218676322334661	0.00747988601159767	0.00772208586447816	0.00913626244172386	0.0119109426702802	0.168565635733228	0.084729693005199	0.0345600705752377	0.0251645495248361	0.00174035902663908	0.0500095615305508	0.0196973858860997	0.0260156210797456	0.0127119701925215	0.0134931277096681	0.0280964568429867	0.00123092764272076	0.00250010921238035	0.0239373900956395	0.00695067843829587	0.00338886817426966	0.0253905513157516	0.00639047305953569
Regulation of PLK1 Activity at G2/M Transition	0.0274178322598172	0.0734640487861238	0.0566898908716428	0.0401830488866472	0.0283326958341877	0.00858880656898104	0.00839189465317781	0.00449373951752358	0.00478309214757989	0.000422477213733562	0.0109176818082909	0.0333592835421872	0.0174692858875389	0.010173855344119	0.00648017281539794	0.11043062102108	0.00123514019532623	0.000563605427727763	0.00726302064891565	0.000295375444402079	0.00383421819678632	0.673502870292127	0.00137067327316206
Signaling by PDGFRA extracellular domain mutants	0.00474504338661986	0.0100647074907519	0.00736875848097679	0.0117997152262542	0.00906337879120182	0.0264192177130572	0.0732470841764918	0.00509643311817552	0.00216410118943892	0.00153537363146246	0.045817615691365	0.0149238129353484	0.0136081003587541	0.013508530826659	0.00731643912692368	0.0167756093407523	0.0012493972595511	0.00108634451894845	0.00465826086779817	0.00490289597369716	0.00254893611110082	0.00921950930529288	0.00213727362209106
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.449989019570684	0.567316370397015	0.548951566927443	0.549993637167461	0.563936651687494	0.16432328054962	0.499312904573819	0.263631661726213	0.49801466650937	0.00453278601039643	0.790685370131441	0.020006625848001	0.019921059202258	0.0171070261720699	0.00652111137704219	0.0104333828466949	0.00126805216865158	0.00362172980228355	0.0417205523935304	0.00627593383968915	0.0015734670853138	0.0263655066776576	0.00155429355582203
Signaling by FGFR3 fusions in cancer	0.374695516170355	0.230561548423629	0.230695838325592	0.215891896191252	0.22114145276823	0.019840525494739	0.00319641503558072	0.00217200282657432	0.00305903630678564	0.00245588084537911	0.0154227948126413	0.0147130118497506	0.0178533398625595	0.0190387257018096	0.00723636102430928	0.000253666681159572	0.00128061872992148	0.000720473949918474	0.00262688526576409	0.0228286233095409	0.00702803571913599	0.000831270085043767	0.00496689814685181
Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	0.00236482555662258	0.00701341426545026	0.00544369461730136	0.00759530271169625	0.00311787984651463	0.0294543337469047	0.0768755437350691	0.00174383757238931	0.00221015259961781	0.000845384103734068	0.043974817726353	0.0122844836330396	0.019611679299315	0.0152079706392178	0.00960923882240735	0.0146932071381446	0.00129366515873974	0.00152773722246578	0.00333652859265664	0.00559240716481783	0.00523706879748672	0.0194193166250839	0.00189106302433765
Recycling pathway of L1	0.00427531830577656	0.000355019835682263	0.00124513808318583	0.0023157796865314	0.00295953413678725	0.0307135822930094	0.818797726579495	0.00462884396765788	0.00576447652484347	0.00205708117014554	0.00518072294406544	0.00300188267095803	0.00672969805290724	0.00376181073881934	0.00232971765599535	0.14537937780688	0.00133788963469186	0.00128259996059046	0.018223887997515	0.00220610943351094	0.00207933007533591	0.00481580700128395	0.00936166755186935
PCNA-Dependent Long Patch Base Excision Repair	0.99936320502732	0.99936320502732	0.743410027936702	0.751765977620989	0.74938312405045	0.561320138424529	0.99936320502732	0.0027012887801654	0.00313553600934095	0.000709343697909526	0.160043100308247	0.16017232531512	0.322474076548901	0.4586154976819	0.00270906289767934	0.234939699482365	0.00134871220921784	6.00092840577777e-05	0.060805880011785	0.000635464172138058	0.084520152616549	0.174872346298089	0.0229608446593149
Sema3A PAK dependent Axon repulsion	0.389698566847921	0.570046368234728	0.533138338859814	0.54590720017721	0.520772520254037	0.473162958187178	0.189664356754589	0.245938425783801	0.114867990767344	0.00160513298504907	0.350403547253981	0.11554009089736	0.0262438615422796	0.0143740202783357	0.00186217801903256	0.03754291039148	0.00140988698192167	0.00168603144296459	0.000752153340830227	0.00718843783440183	0.0011526414817933	0.00204299512932382	0.00276398015606503
Synthesis of PIPs at the plasma membrane	0.17352226788762	0.212900519194702	0.0588078678363567	0.022996559749918	0.0379183072653918	0.0465376492040222	0.00225525234426849	1.03787761943224e-06	2.67185139060492e-07	5.78725241584843e-05	0.00460311968577817	0.0029635513623101	0.0101662285898441	0.00446497550948288	0.000548150813358299	0.000125005145969487	0.00142944276505206	0.000183282689821293	0.00485616648123494	0.00126157139333751	0.000234036764208492	0.00107614960186554	1.52066398123211e-05
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	0.00187366141125092	0.00298360371208249	0.00399666819056664	0.00366455432223416	0.00248271023442929	0.000455790196932695	0.0220970373974512	0.00033697134797121	0.00134771551698398	0.000326793505832308	0.00156969963720222	0.00042875310465418	0.000189905288503634	0.000311040079700199	0.00065125164005417	0.00190230186133126	0.00144029802139432	0.000526100952770086	0.0017145121614405	0.00033269601014307	0.000919131366836389	0.00535681788806558	0.00028534851184549
Nuclear Receptor transcription pathway	0.00949357967025459	0.000272592380029188	0.000133629216583143	0.00019531120044098	8.30228294736019e-05	0.000114714058942865	0.000553862393525446	0.00219882225756103	0.00214134871548123	1.85960422102051e-05	0.0411028328172206	0.00210152233185464	0.00132605331422756	0.000783286825817226	0.00142223589963245	0.00446785103368758	0.00150354758592836	0.000110839569607302	0.0104390529889394	0.000167976795803904	0.000499908820141017	0.0100004356736896	0.000127166911685466
Signaling by ALK in cancer	0.0012021780029579	0.000182507469884079	0.000396725818987015	0.000563124191572204	0.000247559184907201	0.015636463905366	0.0185698379588739	0.00118916369857577	0.00175627830623198	0.000485829497111925	0.0102631186536161	0.00949337958320363	0.00555531106120568	0.00682499542705353	0.00527358610410949	0.00172767152997597	0.00150643438717948	0.000330276222295476	0.0149910203349106	0.00121454069592199	0.00112684507598815	0.020920468240513	0.000201804148120955
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	0.8110544202188	0.751124041653627	0.792875380316976	0.782387461421653	0.764597930794958	0.00790137389761629	0.00451094308680052	0.0197920888704368	0.0183431395925666	0.00521712065712378	0.025907990735106	0.022608165306333	0.0269875008301052	0.0210299910867057	0.0201026668615617	0.213315922520639	0.00153626812183397	0.00359994331165718	0.00595224881275979	0.00438894595575701	0.00236049899723491	0.00154290903748815	0.0086572199571629
RUNX1 regulates transcription of genes involved in WNT signaling	0.306575162879363	0.00982620642783727	0.0148011171172126	0.00620642370438499	0.0306499199868965	0.717832796688218	0.0150943941388507	0.656452653367013	0.673127955235807	0.000822445847124396	0.755874351260801	0.704962165537347	0.684324327856645	0.714528665483572	0.359275643467691	0.817426629379623	0.00154403112558204	0.0205974206664017	0.75756091333703	0.403323420665559	0.22287851488071	0.730768268680445	0.0848640338779268
RAB geranylgeranylation	0.0202212098692669	0.0482476282416399	0.0386070693674037	0.00380621205782999	0.0025912521757571	0.0561078896818025	0.00142818812697584	0.000227713218890391	0.000204570683223392	9.36638027277357e-05	0.000261640097261427	2.55469113476476e-05	0.000190233492553201	0.000455642450905255	3.84163711300402e-05	0.00154302716415442	0.00156728386597616	1.4078707068382e-05	0.00443331897851807	8.09296601162113e-05	0.00106086903403959	0.00381976463756	4.52222028501973e-05
G alpha (z) signalling events	0.0412915642659683	0.0152700959414342	0.0348579264755638	0.0304006245510105	0.0321530173729625	0.0780971743607105	0.417355654430918	0.000698763181709167	0.000754310549094789	0.00017632909569575	0.00911707373297824	0.000638215170996068	0.000396059641884383	0.000364278395678579	0.0007741179019946	0.00883077506868046	0.00158269075335952	0.000721886808990641	0.103223370777796	0.00170118484612336	0.000499303783414535	0.000153603193477974	0.000361340579404273
Regulation of PTEN stability and activity	0.0220010474604447	0.0160719283055389	0.0069317606861948	0.0136254644124945	0.012839651863113	0.0354307938511195	0.15704688484964	0.00398411531634421	0.00998977996088948	0.00359272843396154	0.0495193432550553	0.0284938782692008	0.0266112463052386	0.0103256362205102	0.00891275218429972	0.0331890535555899	0.00158672915531766	0.00453798592646841	0.0058420910888651	0.00340412493198167	0.00157948498340566	0.00695638559069231	0.00293267400268603
ECM proteoglycans	0.764790186712573	0.737156720317468	0.748823878852377	0.724136925294	0.726674061395726	0.00176472225902954	0.0432434411184481	0.00123269381701304	0.000463063452179508	0.000432354281920344	0.0310621322126376	0.00166130810096314	0.00412185857049445	0.00716715748029688	0.00153660737319808	0.00375886235149575	0.00160987068339344	0.000232909994730438	0.00030976532859652	0.00182393514114747	0.00142559284431096	0.410790036534258	0.0014708442292899
Aquaporin-mediated transport	0.00215763089002494	0.00110475744918215	0.00152916862173102	0.00137967104981723	0.00110001989116402	0.00186859166053194	0.129797459761631	0.00520918427523299	0.00291013506293681	0.00699210683765842	0.00259994982081291	0.0220012403517512	0.0318818075739065	0.02394383685345	0.0261445193734837	0.234288483145693	0.00162352262103652	0.00361707734592421	0.546447190951942	0.00158129472475769	0.00140677596714518	0.0109720740601911	0.00937753096220663
FOXO-mediated transcription of cell cycle genes	0.00485066108617554	0.00166934183320888	0.00456597838669723	0.00377892792638721	0.00411353371639403	0.0276374743994147	0.0330788513824893	0.0116080354903602	0.0184560763472907	0.00163819382572068	0.200419292883728	0.0105145104883011	0.0102008841964858	0.0102575483257149	0.0137231631296671	0.00210437495522868	0.00164085392207281	0.000315513353197071	0.00414402877059405	0.00577307544400758	0.0045750185916111	0.781954456937783	0.00380365754288909
Selective autophagy	0.0298073576075555	0.0411577714967901	0.0370478758077234	0.0348282667925104	0.0258655886040351	0.030604932143591	0.0435725775096124	0.00678462806142251	0.00243933213383229	0.00292697153305125	0.00111433227472311	0.00253244716553299	0.00383791555576715	0.00422147364434689	0.00192778966635752	0.00619527007878419	0.00164481981576092	0.00361569669044982	0.0241769765684119	0.00320504840540039	0.00122987171227794	0.0159751214514665	0.00643380090055386
Smooth Muscle Contraction	0.0163289090698731	0.0401728201684166	0.0373765940115266	0.0367052157899091	0.0386267536837752	0.000100843594446524	0.000941033613621817	0.000595426586708294	0.000521782051089801	7.82472942865725e-05	0.000557091322669304	0.000270767061275776	0.000120102494679389	0.000659637933448614	8.44675357293436e-05	0.000114825376072853	0.00165667369607485	9.25785130278393e-05	0.0163272829635271	0.000549521695957297	0.00438615569649674	0.000911304220166337	0.000340925929043567
Sema4D induced cell migration and growth-cone collapse	0.0392546507329304	0.0487654645103034	0.0424020530596917	0.0412098771816761	0.0518035497227727	0.00146057227507453	0.148501798840795	0.0115027148308029	0.00886437326185193	0.00168809107600567	0.00643937988911632	0.00182051769887931	0.00289087589283505	0.00264524855169285	0.00222669271248508	0.00424572423546154	0.00167438461919904	0.00275189844697646	0.00377125829037502	0.00133502330691476	0.00284806249431833	0.00114287916998412	0.00058786535082315
Dual Incision in GG-NER	0.0141028891003961	0.598625480420925	0.593426021674884	0.582700610561373	0.588650984236116	0.289755408472234	0.0309351120113513	0.024266241831883	0.0183923521659987	0.00140585778653933	0.167020537468162	0.0883666978312536	0.0623765003671074	0.0309094088949215	0.00571033724343812	0.020132740219978	0.00169075071009255	0.00135776211310397	0.0140660854644992	0.00418779545683946	0.00282660084434933	0.445111203030776	0.00747081333114367
